geo_id,heat_length_of_distribution_pipelines_in_meter_per_residence_object_first_bracket,heat_length_of_distribution_pipelines_in_meter_per_residence_object_second_bracket,heat_length_of_distribution_pipelines_in_meter_per_residence_object_third_bracket,heat_length_of_distribution_pipelines_in_meter_per_residence_object_fourth_bracket,heat_length_of_distribution_pipelines_in_meter_per_residence_object_fifth_bracket,heat_length_of_connection_pipelines_in_meter_per_residence_first_bracket,heat_length_of_connection_pipelines_in_meter_per_residence_second_bracket,heat_length_of_connection_pipelines_in_meter_per_residence_third_bracket,heat_length_of_connection_pipelines_in_meter_per_residence_fourth_bracket,heat_length_of_connection_pipelines_in_meter_per_residence_fifth_bracket,heat_share_of_apartments_with_block_heating
BU00790302,30.5,30.5,30.5,30.5,30.5,13.9,13.9,13.9,13.9,13.9,0.15
BU00790309,38.1,38.1,38.1,38.1,38.1,28.7,28.7,28.7,28.7,28.7,0.15
BU00880000,13.7,13.7,13.7,13.7,13.7,10.4,10.4,10.4,10.4,10.4,0.15
BU00880009,13.2,13.2,13.2,13.2,13.2,21.4,21.4,21.4,21.4,21.4,0.15
BU00900132,23.3,23.3,23.3,23.3,23.3,23.7,23.7,23.7,23.7,23.7,0.15
BU02035875,32.3,32.3,32.3,32.3,32.3,31.8,31.8,31.8,31.8,31.8,0.15
BU02160009,15.1,15.1,15.1,15.1,15.1,10.5,10.5,10.5,10.5,10.5,0.15
BU02286031,33.5,33.5,33.5,33.5,33.5,28.2,28.2,28.2,28.2,28.2,0.15
BU02360207,35.7,35.7,35.7,35.7,35.7,28.4,28.4,28.4,28.4,28.4,0.15
BU02360208,34.1,34.1,34.1,34.1,34.1,21.9,21.9,21.9,21.9,21.9,0.15
BU02670401,26.5,26.5,26.5,26.5,26.5,16.7,16.7,16.7,16.7,16.7,0.15
BU02790000,9.7,9.7,9.7,9.7,9.7,10.5,10.5,10.5,10.5,10.5,0.15
BU02790008,18.7,18.7,18.7,18.7,18.7,27.1,27.1,27.1,27.1,27.1,0.15
BU02790009,25.8,25.8,25.8,25.8,25.8,20.4,20.4,20.4,20.4,20.4,0.15
BU03070100,5.8,5.8,5.8,5.8,5.8,2.5,2.5,2.5,2.5,2.5,0.15
BU03070101,4.7,4.7,4.7,4.7,4.7,2.6,2.6,2.6,2.6,2.6,0.15
BU03070102,5.7,5.7,5.7,5.7,5.7,2.1,2.1,2.1,2.1,2.1,0.15
BU03070103,5.4,5.4,5.4,5.4,5.4,1.7,1.7,1.7,1.7,1.7,0.15
BU03070104,5.4,5.4,5.4,5.4,5.4,3.1,3.1,3.1,3.1,3.1,0.15
BU03070105,3.9,3.9,3.9,3.9,3.9,1.3,1.3,1.3,1.3,1.3,0.15
BU03070106,5.7,5.7,5.7,5.7,5.7,1.5,1.5,1.5,1.5,1.5,0.15
BU03070107,3.8,3.8,3.8,3.8,3.8,0.7,0.7,0.7,0.7,0.7,0.15
BU03070108,4.3,4.3,4.3,4.3,4.3,5,5,5,5,5,0.15
BU03070200,1.7,1.7,1.7,1.7,1.7,0,0,0,0,0,0.15
BU03070202,5.3,5.3,5.3,5.3,5.3,2.2,2.2,2.2,2.2,2.2,0.15
BU03070204,7,7,7,7,7,1.6,1.6,1.6,1.6,1.6,0.15
BU03070205,5.2,5.2,5.2,5.2,5.2,2.6,2.6,2.6,2.6,2.6,0.15
BU03070206,4.6,4.6,4.6,4.6,4.6,2.9,2.9,2.9,2.9,2.9,0.15
BU03070300,6.1,6.1,6.1,6.1,6.1,6.9,6.9,6.9,6.9,6.9,0.15
BU03070301,5.9,5.9,5.9,5.9,5.9,9.5,9.5,9.5,9.5,9.5,0.15
BU03070302,3.6,3.6,3.6,3.6,3.6,6.5,6.5,6.5,6.5,6.5,0.15
BU03070303,6.1,6.1,6.1,6.1,6.1,8.3,8.3,8.3,8.3,8.3,0.15
BU03070304,7.7,7.7,7.7,7.7,7.7,9.3,9.3,9.3,9.3,9.3,0.15
BU03070305,5.7,5.7,5.7,5.7,5.7,5.9,5.9,5.9,5.9,5.9,0.15
BU03070306,2.1,2.1,2.1,2.1,2.1,0.9,0.9,0.9,0.9,0.9,0.15
BU03070307,3,3,3,3,3,2.2,2.2,2.2,2.2,2.2,0.15
BU03070401,6.7,6.7,6.7,6.7,6.7,0.2,0.2,0.2,0.2,0.2,0.15
BU03070402,22,22,22,22,22,7.8,7.8,7.8,7.8,7.8,0.15
BU03070403,13.1,13.1,13.1,13.1,13.1,15.2,15.2,15.2,15.2,15.2,0.15
BU03070404,13.4,13.4,13.4,13.4,13.4,11.8,11.8,11.8,11.8,11.8,0.15
BU03070500,15.5,15.5,15.5,15.5,15.5,4.3,4.3,4.3,4.3,4.3,0.15
BU03070501,19.6,19.6,19.6,19.6,19.6,10.2,10.2,10.2,10.2,10.2,0.15
BU03070502,22.8,22.8,22.8,22.8,22.8,13.2,13.2,13.2,13.2,13.2,0.15
BU03070600,12,12,12,12,12,8.2,8.2,8.2,8.2,8.2,0.15
BU03070601,4.1,4.1,4.1,4.1,4.1,2.2,2.2,2.2,2.2,2.2,0.15
BU03070603,4.7,4.7,4.7,4.7,4.7,2.7,2.7,2.7,2.7,2.7,0.15
BU03070700,5.6,5.6,5.6,5.6,5.6,6.4,6.4,6.4,6.4,6.4,0.15
BU03070701,4.6,4.6,4.6,4.6,4.6,5.6,5.6,5.6,5.6,5.6,0.15
BU03070702,4.4,4.4,4.4,4.4,4.4,2.4,2.4,2.4,2.4,2.4,0.15
BU03070800,5.4,5.4,5.4,5.4,5.4,5.8,5.8,5.8,5.8,5.8,0.15
BU03070801,4.9,4.9,4.9,4.9,4.9,4.6,4.6,4.6,4.6,4.6,0.15
BU03070803,7.5,7.5,7.5,7.5,7.5,7.8,7.8,7.8,7.8,7.8,0.15
BU03070900,6.7,6.7,6.7,6.7,6.7,7.6,7.6,7.6,7.6,7.6,0.15
BU03070902,4.9,4.9,4.9,4.9,4.9,6.7,6.7,6.7,6.7,6.7,0.15
BU03070903,5.8,5.8,5.8,5.8,5.8,6.8,6.8,6.8,6.8,6.8,0.15
BU03070905,4.7,4.7,4.7,4.7,4.7,7.9,7.9,7.9,7.9,7.9,0.15
BU03071000,8.3,8.3,8.3,8.3,8.3,6.1,6.1,6.1,6.1,6.1,0.15
BU03071001,5.4,5.4,5.4,5.4,5.4,3.8,3.8,3.8,3.8,3.8,0.15
BU03071002,4.2,4.2,4.2,4.2,4.2,3.6,3.6,3.6,3.6,3.6,0.15
BU03071003,5,5,5,5,5,4,4,4,4,4,0.15
BU03071004,4.3,4.3,4.3,4.3,4.3,5.3,5.3,5.3,5.3,5.3,0.15
BU03071100,8.1,8.1,8.1,8.1,8.1,8.6,8.6,8.6,8.6,8.6,0.15
BU03071101,7.7,7.7,7.7,7.7,7.7,8,8,8,8,8,0.15
BU03071201,27.7,27.7,27.7,27.7,27.7,24.9,24.9,24.9,24.9,24.9,0.15
BU03071202,34.2,34.2,34.2,34.2,34.2,31.8,31.8,31.8,31.8,31.8,0.15
BU03071300,8,8,8,8,8,6.4,6.4,6.4,6.4,6.4,0.15
BU03071301,3.7,3.7,3.7,3.7,3.7,1.8,1.8,1.8,1.8,1.8,0.15
BU03071302,4,4,4,4,4,2.9,2.9,2.9,2.9,2.9,0.15
BU03071400,4.9,4.9,4.9,4.9,4.9,3.7,3.7,3.7,3.7,3.7,0.15
BU03071401,7.3,7.3,7.3,7.3,7.3,5.5,5.5,5.5,5.5,5.5,0.15
BU03071402,4.5,4.5,4.5,4.5,4.5,2.4,2.4,2.4,2.4,2.4,0.15
BU03071403,6.1,6.1,6.1,6.1,6.1,4.8,4.8,4.8,4.8,4.8,0.15
BU03071500,4.8,4.8,4.8,4.8,4.8,5.7,5.7,5.7,5.7,5.7,0.15
BU03071501,8,8,8,8,8,6.6,6.6,6.6,6.6,6.6,0.15
BU03071502,5.1,5.1,5.1,5.1,5.1,7.7,7.7,7.7,7.7,7.7,0.15
BU03071503,4.8,4.8,4.8,4.8,4.8,3.3,3.3,3.3,3.3,3.3,0.15
BU03071600,8.1,8.1,8.1,8.1,8.1,8.7,8.7,8.7,8.7,8.7,0.15
BU03071601,7.5,7.5,7.5,7.5,7.5,9.3,9.3,9.3,9.3,9.3,0.15
BU03071602,6.8,6.8,6.8,6.8,6.8,7.3,7.3,7.3,7.3,7.3,0.15
BU03071603,26.9,26.9,26.9,26.9,26.9,20.9,20.9,20.9,20.9,20.9,0.15
BU03071700,4.2,4.2,4.2,4.2,4.2,6.1,6.1,6.1,6.1,6.1,0.15
BU03071701,3.2,3.2,3.2,3.2,3.2,4,4,4,4,4,0.15
BU03071702,11.1,11.1,11.1,11.1,11.1,12.8,12.8,12.8,12.8,12.8,0.15
BU03071703,11.8,11.8,11.8,11.8,11.8,13.2,13.2,13.2,13.2,13.2,0.15
BU03071704,6.4,6.4,6.4,6.4,6.4,10.8,10.8,10.8,10.8,10.8,0.15
BU03071705,8.8,8.8,8.8,8.8,8.8,11.8,11.8,11.8,11.8,11.8,0.15
BU03071706,5.2,5.2,5.2,5.2,5.2,2.1,2.1,2.1,2.1,2.1,0.15
BU03071707,33.1,33.1,33.1,33.1,33.1,16.3,16.3,16.3,16.3,16.3,0.15
BU03071800,14.8,14.8,14.8,14.8,14.8,11.5,11.5,11.5,11.5,11.5,0.15
BU03071801,3.2,3.2,3.2,3.2,3.2,0.4,0.4,0.4,0.4,0.4,0.15
BU03071802,21.6,21.6,21.6,21.6,21.6,15.3,15.3,15.3,15.3,15.3,0.15
BU03071803,15.4,15.4,15.4,15.4,15.4,8.2,8.2,8.2,8.2,8.2,0.15
BU03071804,15.2,15.2,15.2,15.2,15.2,10.5,10.5,10.5,10.5,10.5,0.15
BU03071900,10.3,10.3,10.3,10.3,10.3,9.4,9.4,9.4,9.4,9.4,0.15
BU03071901,8.2,8.2,8.2,8.2,8.2,9.6,9.6,9.6,9.6,9.6,0.15
BU03071902,9.2,9.2,9.2,9.2,9.2,10.1,10.1,10.1,10.1,10.1,0.15
BU03071903,7,7,7,7,7,8.7,8.7,8.7,8.7,8.7,0.15
BU03071904,8.9,8.9,8.9,8.9,8.9,10.4,10.4,10.4,10.4,10.4,0.15
BU03071905,7.9,7.9,7.9,7.9,7.9,7.1,7.1,7.1,7.1,7.1,0.15
BU03071906,15.4,15.4,15.4,15.4,15.4,7.9,7.9,7.9,7.9,7.9,0.15
BU03072000,7.6,7.6,7.6,7.6,7.6,7.5,7.5,7.5,7.5,7.5,0.15
BU03072001,5.9,5.9,5.9,5.9,5.9,6.7,6.7,6.7,6.7,6.7,0.15
BU03072002,5.8,5.8,5.8,5.8,5.8,6.5,6.5,6.5,6.5,6.5,0.15
BU03072003,7.7,7.7,7.7,7.7,7.7,5.8,5.8,5.8,5.8,5.8,0.15
BU03072004,7.5,7.5,7.5,7.5,7.5,9.5,9.5,9.5,9.5,9.5,0.15
BU03072005,9.6,9.6,9.6,9.6,9.6,7.2,7.2,7.2,7.2,7.2,0.15
BU03072006,85.4,85.4,85.4,85.4,85.4,13.4,13.4,13.4,13.4,13.4,0.15
BU03072100,6.2,6.2,6.2,6.2,6.2,7.4,7.4,7.4,7.4,7.4,0.15
BU03072101,6.8,6.8,6.8,6.8,6.8,6.2,6.2,6.2,6.2,6.2,0.15
BU03072102,8.5,8.5,8.5,8.5,8.5,7.6,7.6,7.6,7.6,7.6,0.15
BU03072103,6.2,6.2,6.2,6.2,6.2,4,4,4,4,4,0.15
BU03072104,8.3,8.3,8.3,8.3,8.3,8.4,8.4,8.4,8.4,8.4,0.15
BU03072105,5.4,5.4,5.4,5.4,5.4,4.8,4.8,4.8,4.8,4.8,0.15
BU03072106,6.4,6.4,6.4,6.4,6.4,8,8,8,8,8,0.15
BU03072107,6.9,6.9,6.9,6.9,6.9,8.1,8.1,8.1,8.1,8.1,0.15
BU03072108,7.7,7.7,7.7,7.7,7.7,7.1,7.1,7.1,7.1,7.1,0.15
BU03072201,14.6,14.6,14.6,14.6,14.6,15.7,15.7,15.7,15.7,15.7,0.15
BU03072300,28.7,28.7,28.7,28.7,28.7,14.8,14.8,14.8,14.8,14.8,0.15
BU03072301,20.1,20.1,20.1,20.1,20.1,18.2,18.2,18.2,18.2,18.2,0.15
BU03072400,6.4,6.4,6.4,6.4,6.4,9.5,9.5,9.5,9.5,9.5,0.15
BU03072402,9,9,9,9,9,9.2,9.2,9.2,9.2,9.2,0.15
BU03072403,5.4,5.4,5.4,5.4,5.4,3.9,3.9,3.9,3.9,3.9,0.15
BU03072404,3.4,3.4,3.4,3.4,3.4,2.7,2.7,2.7,2.7,2.7,0.15
BU03072405,5.9,5.9,5.9,5.9,5.9,8.5,8.5,8.5,8.5,8.5,0.15
BU03072407,7.5,7.5,7.5,7.5,7.5,7.6,7.6,7.6,7.6,7.6,0.15
BU03072500,10.6,10.6,10.6,10.6,10.6,1.2,1.2,1.2,1.2,1.2,0.15
BU03072501,11.6,11.6,11.6,11.6,11.6,25.3,25.3,25.3,25.3,25.3,0.15
BU03072502,14.9,14.9,14.9,14.9,14.9,15.4,15.4,15.4,15.4,15.4,0.15
BU03072505,8.7,8.7,8.7,8.7,8.7,13.6,13.6,13.6,13.6,13.6,0.15
BU03072506,35.1,35.1,35.1,35.1,35.1,18.4,18.4,18.4,18.4,18.4,0.15
BU03072507,42.3,42.3,42.3,42.3,42.3,10.6,10.6,10.6,10.6,10.6,0.15
BU03072508,0,0,0,0,0,8.1,8.1,8.1,8.1,8.1,0.15
BU03072600,7.8,7.8,7.8,7.8,7.8,9,9,9,9,9,0.15
BU03072601,9.9,9.9,9.9,9.9,9.9,7.6,7.6,7.6,7.6,7.6,0.15
BU03072602,10.9,10.9,10.9,10.9,10.9,5.9,5.9,5.9,5.9,5.9,0.15
BU03072603,13.6,13.6,13.6,13.6,13.6,15.8,15.8,15.8,15.8,15.8,0.15
BU03072700,20.8,20.8,20.8,20.8,20.8,26.8,26.8,26.8,26.8,26.8,0.15
BU03072701,35.4,35.4,35.4,35.4,35.4,30.1,30.1,30.1,30.1,30.1,0.15
BU03072709,33.8,33.8,33.8,33.8,33.8,15.7,15.7,15.7,15.7,15.7,0.15
BU03072800,8.6,8.6,8.6,8.6,8.6,10.5,10.5,10.5,10.5,10.5,0.15
BU03072801,10.6,10.6,10.6,10.6,10.6,10.4,10.4,10.4,10.4,10.4,0.15
BU03072802,8,8,8,8,8,8.4,8.4,8.4,8.4,8.4,0.15
BU03072803,11.1,11.1,11.1,11.1,11.1,9,9,9,9,9,0.15
BU03072804,10.1,10.1,10.1,10.1,10.1,5.8,5.8,5.8,5.8,5.8,0.15
BU03072805,22.4,22.4,22.4,22.4,22.4,19.4,19.4,19.4,19.4,19.4,0.15
BU03072806,0,0,0,0,0,15.9,15.9,15.9,15.9,15.9,0.15
BU03072900,8.9,8.9,8.9,8.9,8.9,8.9,8.9,8.9,8.9,8.9,0.15
BU03072901,3.6,3.6,3.6,3.6,3.6,0.6,0.6,0.6,0.6,0.6,0.15
BU03072902,8.6,8.6,8.6,8.6,8.6,9.7,9.7,9.7,9.7,9.7,0.15
BU03073000,8.2,8.2,8.2,8.2,8.2,9.7,9.7,9.7,9.7,9.7,0.15
BU03073001,7.2,7.2,7.2,7.2,7.2,6.4,6.4,6.4,6.4,6.4,0.15
BU03073100,81,81,81,81,81,15.5,15.5,15.5,15.5,15.5,0.15
BU03073101,4.5,4.5,4.5,4.5,4.5,4.7,4.7,4.7,4.7,4.7,0.15
BU03073102,7.1,7.1,7.1,7.1,7.1,7.9,7.9,7.9,7.9,7.9,0.15
BU03073103,4.7,4.7,4.7,4.7,4.7,4,4,4,4,4,0.15
BU03073108,39.1,39.1,39.1,39.1,39.1,32.5,32.5,32.5,32.5,32.5,0.15
BU03080000,7.2,7.2,7.2,7.2,7.2,5.3,5.3,5.3,5.3,5.3,0.15
BU03080001,8.2,8.2,8.2,8.2,8.2,9,9,9,9,9,0.15
BU03080002,9.8,9.8,9.8,9.8,9.8,11.5,11.5,11.5,11.5,11.5,0.15
BU03080003,7.4,7.4,7.4,7.4,7.4,8.7,8.7,8.7,8.7,8.7,0.15
BU03080004,7.6,7.6,7.6,7.6,7.6,7.6,7.6,7.6,7.6,7.6,0.15
BU03080005,5.6,5.6,5.6,5.6,5.6,8.2,8.2,8.2,8.2,8.2,0.15
BU03080006,14.4,14.4,14.4,14.4,14.4,16.7,16.7,16.7,16.7,16.7,0.15
BU03080007,7,7,7,7,7,3.8,3.8,3.8,3.8,3.8,0.15
BU03080100,16.9,16.9,16.9,16.9,16.9,10.5,10.5,10.5,10.5,10.5,0.15
BU03080101,6.8,6.8,6.8,6.8,6.8,7.5,7.5,7.5,7.5,7.5,0.15
BU03080102,5.6,5.6,5.6,5.6,5.6,5.9,5.9,5.9,5.9,5.9,0.15
BU03080103,8.1,8.1,8.1,8.1,8.1,7.4,7.4,7.4,7.4,7.4,0.15
BU03080104,7,7,7,7,7,5.9,5.9,5.9,5.9,5.9,0.15
BU03080105,7.5,7.5,7.5,7.5,7.5,7,7,7,7,7,0.15
BU03080109,31.4,31.4,31.4,31.4,31.4,29.2,29.2,29.2,29.2,29.2,0.15
BU03080200,17.9,17.9,17.9,17.9,17.9,13.8,13.8,13.8,13.8,13.8,0.15
BU03080201,9.7,9.7,9.7,9.7,9.7,7.8,7.8,7.8,7.8,7.8,0.15
BU03080400,27.5,27.5,27.5,27.5,27.5,30.9,30.9,30.9,30.9,30.9,0.15
BU03080401,9.4,9.4,9.4,9.4,9.4,2.4,2.4,2.4,2.4,2.4,0.15
BU03080500,18.2,18.2,18.2,18.2,18.2,20.6,20.6,20.6,20.6,20.6,0.15
BU03080501,25.5,25.5,25.5,25.5,25.5,30.3,30.3,30.3,30.3,30.3,0.15
BU03120000,10.3,10.3,10.3,10.3,10.3,8.9,8.9,8.9,8.9,8.9,0.15
BU03120001,33.2,33.2,33.2,33.2,33.2,22,22,22,22,22,0.15
BU03120008,43.1,43.1,43.1,43.1,43.1,16.9,16.9,16.9,16.9,16.9,0.15
BU03120009,32.1,32.1,32.1,32.1,32.1,28,28,28,28,28,0.15
BU03120100,8.5,8.5,8.5,8.5,8.5,8.9,8.9,8.9,8.9,8.9,0.15
BU03120109,24.5,24.5,24.5,24.5,24.5,26.9,26.9,26.9,26.9,26.9,0.15
BU03120200,8.9,8.9,8.9,8.9,8.9,10.9,10.9,10.9,10.9,10.9,0.15
BU03120209,31.4,31.4,31.4,31.4,31.4,24.6,24.6,24.6,24.6,24.6,0.15
BU03130001,10.4,10.4,10.4,10.4,10.4,10.6,10.6,10.6,10.6,10.6,0.15
BU03130002,8.6,8.6,8.6,8.6,8.6,7.7,7.7,7.7,7.7,7.7,0.15
BU03130003,15.5,15.5,15.5,15.5,15.5,17.1,17.1,17.1,17.1,17.1,0.15
BU03130004,7.8,7.8,7.8,7.8,7.8,8.5,8.5,8.5,8.5,8.5,0.15
BU03130005,8.5,8.5,8.5,8.5,8.5,9.7,9.7,9.7,9.7,9.7,0.15
BU03130006,7.2,7.2,7.2,7.2,7.2,9,9,9,9,9,0.15
BU03130007,22.7,22.7,22.7,22.7,22.7,31.1,31.1,31.1,31.1,31.1,0.15
BU03130008,21.4,21.4,21.4,21.4,21.4,25.7,25.7,25.7,25.7,25.7,0.15
BU03130009,6.5,6.5,6.5,6.5,6.5,5.7,5.7,5.7,5.7,5.7,0.15
BU03130011,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,0.15
BU03211010,8,8,8,8,8,10.1,10.1,10.1,10.1,10.1,0.15
BU03211011,9,9,9,9,9,10.7,10.7,10.7,10.7,10.7,0.15
BU03211012,7.8,7.8,7.8,7.8,7.8,8.2,8.2,8.2,8.2,8.2,0.15
BU03211013,9.9,9.9,9.9,9.9,9.9,8.1,8.1,8.1,8.1,8.1,0.15
BU03211014,6.6,6.6,6.6,6.6,6.6,5.6,5.6,5.6,5.6,5.6,0.15
BU03211015,10.3,10.3,10.3,10.3,10.3,8.2,8.2,8.2,8.2,8.2,0.15
BU03211016,9.5,9.5,9.5,9.5,9.5,8.8,8.8,8.8,8.8,8.8,0.15
BU03211017,8.3,8.3,8.3,8.3,8.3,8.2,8.2,8.2,8.2,8.2,0.15
BU03211018,9.5,9.5,9.5,9.5,9.5,9,9,9,9,9,0.15
BU03211019,7.3,7.3,7.3,7.3,7.3,7.8,7.8,7.8,7.8,7.8,0.15
BU03211050,19.8,19.8,19.8,19.8,19.8,11.9,11.9,11.9,11.9,11.9,0.15
BU03211120,3.7,3.7,3.7,3.7,3.7,1.5,1.5,1.5,1.5,1.5,0.15
BU03211121,2.7,2.7,2.7,2.7,2.7,2.3,2.3,2.3,2.3,2.3,0.15
BU03211122,11.1,11.1,11.1,11.1,11.1,2.8,2.8,2.8,2.8,2.8,0.15
BU03211123,8.2,8.2,8.2,8.2,8.2,8.3,8.3,8.3,8.3,8.3,0.15
BU03211124,7.6,7.6,7.6,7.6,7.6,8.5,8.5,8.5,8.5,8.5,0.15
BU03211125,8.7,8.7,8.7,8.7,8.7,8.8,8.8,8.8,8.8,8.8,0.15
BU03211126,7.4,7.4,7.4,7.4,7.4,8.3,8.3,8.3,8.3,8.3,0.15
BU03211127,7.4,7.4,7.4,7.4,7.4,8,8,8,8,8,0.15
BU03211128,8.2,8.2,8.2,8.2,8.2,7.5,7.5,7.5,7.5,7.5,0.15
BU03211129,7.8,7.8,7.8,7.8,7.8,8.1,8.1,8.1,8.1,8.1,0.15
BU03211230,8.1,8.1,8.1,8.1,8.1,4.2,4.2,4.2,4.2,4.2,0.15
BU03211231,9.7,9.7,9.7,9.7,9.7,6.4,6.4,6.4,6.4,6.4,0.15
BU03211232,8.9,8.9,8.9,8.9,8.9,7.4,7.4,7.4,7.4,7.4,0.15
BU03211233,8.7,8.7,8.7,8.7,8.7,6.1,6.1,6.1,6.1,6.1,0.15
BU03211234,8.2,8.2,8.2,8.2,8.2,7.2,7.2,7.2,7.2,7.2,0.15
BU03211235,8.2,8.2,8.2,8.2,8.2,6.1,6.1,6.1,6.1,6.1,0.15
BU03211236,3.1,3.1,3.1,3.1,3.1,4.8,4.8,4.8,4.8,4.8,0.15
BU03211237,3.5,3.5,3.5,3.5,3.5,5.2,5.2,5.2,5.2,5.2,0.15
BU03211238,10,10,10,10,10,6.6,6.6,6.6,6.6,6.6,0.15
BU03211340,7.6,7.6,7.6,7.6,7.6,8.7,8.7,8.7,8.7,8.7,0.15
BU03211341,9.9,9.9,9.9,9.9,9.9,8.3,8.3,8.3,8.3,8.3,0.15
BU03211342,8.8,8.8,8.8,8.8,8.8,6.3,6.3,6.3,6.3,6.3,0.15
BU03211343,7.5,7.5,7.5,7.5,7.5,8.7,8.7,8.7,8.7,8.7,0.15
BU03211344,7.7,7.7,7.7,7.7,7.7,6.7,6.7,6.7,6.7,6.7,0.15
BU03211345,7.6,7.6,7.6,7.6,7.6,6.6,6.6,6.6,6.6,6.6,0.15
BU03212054,19,19,19,19,19,2.6,2.6,2.6,2.6,2.6,0.15
BU03212055,23.8,23.8,23.8,23.8,23.8,12.1,12.1,12.1,12.1,12.1,0.15
BU03212056,27.9,27.9,27.9,27.9,27.9,14.1,14.1,14.1,14.1,14.1,0.15
BU03212057,59.1,59.1,59.1,59.1,59.1,13.7,13.7,13.7,13.7,13.7,0.15
BU03212058,14,14,14,14,14,18.7,18.7,18.7,18.7,18.7,0.15
BU03212059,0,0,0,0,0,28,28,28,28,28,0.15
BU03212060,6,6,6,6,6,13.7,13.7,13.7,13.7,13.7,0.15
BU03212061,34.9,34.9,34.9,34.9,34.9,8.8,8.8,8.8,8.8,8.8,0.15
BU03212062,32.2,32.2,32.2,32.2,32.2,13.6,13.6,13.6,13.6,13.6,0.15
BU03212063,26,26,26,26,26,28.6,28.6,28.6,28.6,28.6,0.15
BU03212064,32.1,32.1,32.1,32.1,32.1,27.2,27.2,27.2,27.2,27.2,0.15
BU03212065,37.3,37.3,37.3,37.3,37.3,25.2,25.2,25.2,25.2,25.2,0.15
BU03213070,12.3,12.3,12.3,12.3,12.3,16.1,16.1,16.1,16.1,16.1,0.15
BU03213071,12.7,12.7,12.7,12.7,12.7,18.5,18.5,18.5,18.5,18.5,0.15
BU03213172,39.8,39.8,39.8,39.8,39.8,26.2,26.2,26.2,26.2,26.2,0.15
BU03214080,11.9,11.9,11.9,11.9,11.9,20.4,20.4,20.4,20.4,20.4,0.15
BU03214081,11.4,11.4,11.4,11.4,11.4,19.4,19.4,19.4,19.4,19.4,0.15
BU03214182,38.1,38.1,38.1,38.1,38.1,31.8,31.8,31.8,31.8,31.8,0.15
BU03215090,12.9,12.9,12.9,12.9,12.9,10.6,10.6,10.6,10.6,10.6,0.15
BU03215091,17.3,17.3,17.3,17.3,17.3,22.5,22.5,22.5,22.5,22.5,0.15
BU03215192,36.3,36.3,36.3,36.3,36.3,24.5,24.5,24.5,24.5,24.5,0.15
BU03215193,48.9,48.9,48.9,48.9,48.9,40.2,40.2,40.2,40.2,40.2,0.15
BU03270000,3,3,3,3,3,0.3,0.3,0.3,0.3,0.3,0.15
BU03270001,7.6,7.6,7.6,7.6,7.6,7.1,7.1,7.1,7.1,7.1,0.15
BU03270002,8.6,8.6,8.6,8.6,8.6,8.9,8.9,8.9,8.9,8.9,0.15
BU03270003,9.7,9.7,9.7,9.7,9.7,7.6,7.6,7.6,7.6,7.6,0.15
BU03270004,7,7,7,7,7,4.5,4.5,4.5,4.5,4.5,0.15
BU03270005,9,9,9,9,9,7.7,7.7,7.7,7.7,7.7,0.15
BU03270006,8.1,8.1,8.1,8.1,8.1,9.3,9.3,9.3,9.3,9.3,0.15
BU03270007,6.2,6.2,6.2,6.2,6.2,8.3,8.3,8.3,8.3,8.3,0.15
BU03270008,8,8,8,8,8,9.2,9.2,9.2,9.2,9.2,0.15
BU03270009,34.1,34.1,34.1,34.1,34.1,25.3,25.3,25.3,25.3,25.3,0.15
BU03270100,11.8,11.8,11.8,11.8,11.8,10.3,10.3,10.3,10.3,10.3,0.15
BU03270101,12.9,12.9,12.9,12.9,12.9,12.6,12.6,12.6,12.6,12.6,0.15
BU03270102,9,9,9,9,9,4.8,4.8,4.8,4.8,4.8,0.15
BU03270103,5.8,5.8,5.8,5.8,5.8,6,6,6,6,6,0.15
BU03270104,10.5,10.5,10.5,10.5,10.5,9.6,9.6,9.6,9.6,9.6,0.15
BU03270105,8.5,8.5,8.5,8.5,8.5,11.9,11.9,11.9,11.9,11.9,0.15
BU03270106,10.6,10.6,10.6,10.6,10.6,8.8,8.8,8.8,8.8,8.8,0.15
BU03270107,6,6,6,6,6,9.9,9.9,9.9,9.9,9.9,0.15
BU03270108,5.9,5.9,5.9,5.9,5.9,7.2,7.2,7.2,7.2,7.2,0.15
BU03270109,19.1,19.1,19.1,19.1,19.1,20.3,20.3,20.3,20.3,20.3,0.15
BU03270200,11.7,11.7,11.7,11.7,11.7,12.8,12.8,12.8,12.8,12.8,0.15
BU03270201,7.9,7.9,7.9,7.9,7.9,8.2,8.2,8.2,8.2,8.2,0.15
BU03270209,28,28,28,28,28,24.9,24.9,24.9,24.9,24.9,0.15
BU03270300,11.6,11.6,11.6,11.6,11.6,11.4,11.4,11.4,11.4,11.4,0.15
BU03270309,35.6,35.6,35.6,35.6,35.6,30.7,30.7,30.7,30.7,30.7,0.15
BU03270400,32.6,32.6,32.6,32.6,32.6,25,25,25,25,25,0.15
BU03270500,6.5,6.5,6.5,6.5,6.5,8.1,8.1,8.1,8.1,8.1,0.15
BU03270501,7.1,7.1,7.1,7.1,7.1,6.9,6.9,6.9,6.9,6.9,0.15
BU03310000,8.7,8.7,8.7,8.7,8.7,9.2,9.2,9.2,9.2,9.2,0.15
BU03310001,22.7,22.7,22.7,22.7,22.7,18.8,18.8,18.8,18.8,18.8,0.15
